MET_SIEMBRA,CANT_SEMILLA,ORIG_SEMILLA,CABALLONEO,NIVELADO,ARADO,FERT_ORG,USO_PRON_FERT,N_TOTAL,P2O5_TOTAL,K2O_TOTAL,FRACC_FERT,TIPO_RIEGO,HERB,INSECT,INCORP_RES,USO_BIOFERT,REDUC_REND,REND,DENS_AP,CIC,pH,N_SUELO,C_ORG_SUELO,TEXT,PREC_ACUM,TEMP_MIN_PROM,TEMP_MAX_PROM,REL_HUM_PROM,SOL_RAD_ACUM
Trasplante_manual,150,Propio_lote,0,2,0,Si,Si,184.5,36,126,4,Inundación,2,1,Si,No,Otro,6.25,1.37,22.6,5.6,2.32,26.7,FAr,452.2900167,23.40276663,32.20013711,53.28221828,2305.213583
Trasplante_manual,225,Semillista,0,1,0,Si,No,75,54,54,4,Inundación,1,2,Si,No,Otro,6.44,1.37,13.6,5.4,1.98,25,FAr,365.9581962,23.02911762,30.27872925,65.38809204,1717.023577
Voleo_manual,,Propio_lote,0,1,0,No,No,306,108,159,3,Inundación,1,0,No,No,Otro,4.5,1.37,16.7,5.4,2.11,21.7,FAr,422.5882752,23.89344676,31.75996786,57.81636396,1880.627912
Trasplante_manual,201.9230769,Propio_lote,0,1,0,No,No,298.4,109.8,109.8,4,Inundación,1,1,Si,No,Alta temperatura,5.35,1.4,14.6,5.5,2.32,28.5,FAr,379.7660601,23.46582403,31.55178515,57.13601522,2130.677565
Trasplante_manual,267.0769231,Propio_lote,0,0,2,No,Si,117,47,27,3,Inundación,3,0,Si,No,Alta temperatura,5.17,1.34,18.9,5.5,1.92,29.1,FAr,351.0943842,23.43930451,31.89182476,56.64044931,2081.178786
Trasplante_manual,225,Propio_lote,0,1,0,No,No,173.54,37.95,79.61,4,Inundación,4,0,Si,No,Otro,3.35,1.35,18.5,5.5,1.75,28.1,FAr,396.3170409,23.23192324,31.13646214,60.77931349,2171.287271
Voleo_manual,201.5517241,Semillista,1,1,0,No,No,258,90,132.5,4,Inundación,3,1,No,No,Alta temperatura,5.37,1.36,16.5,5.5,1.91,29,FAr,487.5106099,23.09452079,30.81416917,61.04515592,1889.333631
Voleo_manual,200,Propio_lote,1,1,0,No,No,239,90,132.5,4,Inundación,1,3,Si,No,Otro,7.4,1.36,16.5,5.5,1.91,29,FAr,459.4949124,23.47747136,31.68844498,56.72909227,2000.135243
Trasplante_manual,200,Propio_lote,0,0,2,No,No,129,36,58,4,Inundación,2,0,Si,No,Otro,2.07,1.32,14.3,5.2,1.87,24.3,FAr,345.4299557,23.0785238,30.53152264,64.19769594,1784.19472
Trasplante_manual,100,Semillista,0,1,1,Si,No,154.5,27,44,3,Inundación,2,1,Si,No,Alta temperatura,2.26,1.35,18.5,5.5,1.75,28.1,FAr,210.1249113,23.53824346,32.4349447,54.12889899,1833.287637
Trasplante_manual,,Propio_lote,0,1,1,No,No,286,90,132.5,4,Inundación,2,1,No,No,Alta temperatura,5,1.32,16.8,5.3,1.98,34.4,FAr,396.0166066,23.05748812,30.39841973,64.82821005,1859.345047
Voleo_manual,,Propio_lote,0,0,0,No,No,151,72,110.5,4,Inundación,3,0,Si,No,Alta temperatura,5.58,1.3,14.2,5.4,2.24,31.9,FAr,611.812675,23.24174125,31.22597061,59.12277622,2253.500789
Trasplante_manual,248,Casa_comercial,0,0,0,No,No,263.4,45,135,4,Inundación,3,1,No,No,Alta temperatura,5,1.33,13.2,5.4,2.14,24.3,FAr,370.0429497,23.44309122,31.52160034,57.42507445,1672.64523
Trasplante_manual,248,Casa_comercial,0,0,0,No,No,197.5,72,72,2,Inundación,1,1,No,No,Alta temperatura,4.13,1.32,12.3,5.4,2.49,30,FAr,215.0412631,24.4028911,34.04765536,42.93142529,1900.534959
Trasplante_manual,250,Casa_comercial,0,0,1,No,No,170,49,72.5,4,Inundación,2,1,Si,No,Alta temperatura,6.44,1.35,15.1,5.2,1.92,26.8,FAr,339.7215271,23.05328057,30.74540631,63.07339469,1691.76581
Trasplante_manual,,Semillista,0,0,0,No,No,36,36,36,1,Inundación,1,1,No,No,Alta temperatura,8.25,1.37,18.4,5.5,1.98,34.1,FAr,324.8922067,22.43927018,29.0633206,73.09236792,2075.167311
Voleo_mecanizado,265.7894737,Propio_lote,0,0,0,No,No,271.5,54,54,4,Inundación,1,1,No,No,Alta temperatura,5,1.37,17.8,5.5,2.16,28.4,FAr,298.0935067,23.83487465,32.47523457,49.47986315,1887.157256
Trasplante_manual,190,Semillista,0,0,0,No,No,186.5,72,80.5,4,Inundación,1,0,No,No,Alta temperatura,7.3,1.37,19.3,5.5,2.04,23.5,FAr,467.9579656,22.4626558,28.62792905,72.15827376,1655.075567
Trasplante_manual,248,Semillista,0,2,2,No,No,82.26,81.09,81.09,3,Inundación,2,3,No,No,Alta temperatura,6.88,1.39,21.9,5.5,2.58,25.5,FAr,311.4758162,24.70367797,34.03181178,45.74641709,1895.400037
Trasplante_manual,186,Semillista,0,2,0,No,No,194,36,113,4,Inundación,3,1,Si,No,Alta temperatura,6.25,1.39,19.6,5.5,2.42,20.1,FAr,489.345917,23.76135065,31.70016911,55.70765841,2217.649374
Voleo_mecanizado,150,Propio_lote,0,1,0,No,No,129.1,58.5,84,4,Inundación,2,2,Si,No,Alta temperatura,5.36,1.35,18.5,5.5,2.08,31.6,FAr,366.6267138,23.46021177,31.86729658,56.38219901,2354.91625
Voleo_manual,185,Propio_lote,0,1,0,No,No,154,31.5,61.25,4,Inundación,5,1,Si,No,Otro,7.71,1.31,17.3,5.4,1.77,27.8,FAr,436.3200266,22.55261441,28.89097075,73.09168977,2157.171322
Voleo_manual,150,Propio_lote,0,0,0,No,No,129,81,115,4,Inundación,3,1,No,No,Alta temperatura,4.38,1.31,13.4,5.2,2.2,23.7,FAr,478.4899797,23.06816287,30.58324983,61.92355765,1628.626915
Voleo_manual,200,Semillista,0,0,0,No,No,121.5,36,114,4,Inundación,2,1,No,No,Alta temperatura,5.94,1.36,15.4,5.3,1.92,24.5,FAr,378.418854,23.89452999,32.76639806,50.5853973,2413.46264
Trasplante_manual,186,Semillista,0,1,0,No,No,127.92,36.03,44.53,3,Inundación,1,1,No,No,Alta temperatura,6.67,1.3,21.6,5.5,2.26,23.7,FAr,362.7534137,23.9392071,32.8293391,50.13926579,2358.937224
Voleo_manual,250,Semillista,0,0,0,No,No,138.5,81,81,4,Inundación,3,1,Si,No,Alta temperatura,4.58,1.36,19.4,5.5,2.06,25.6,FAr,336.6123068,23.36339262,31.63178586,58.00890978,1776.799587
Voleo_manual,248,Propio_lote,0,6,0,No,No,133,66,66,4,Inundación,1,1,Si,No,Alta temperatura,8.75,1.37,20.7,5.6,1.97,20.9,FAr,477.7266665,23.60929727,31.69925855,58.04599986,2257.472774
Voleo_manual,124,Semillista,0,0,0,No,No,72,72,72,3,Inundación,1,0,Si,No,Alta temperatura,5.39,1.37,15.2,5.3,2.01,25.7,FAr,356.766104,23.3488366,31.58064999,58.45255813,1866.906754
Trasplante_manual,200,Casa_comercial,0,0,0,No,No,36,36,36,1,Inundación,1,1,No,No,Alta temperatura,6.88,1.37,18.7,5.4,2.13,26.9,FAr,436.5673707,22.68301038,30.13637535,65.54479993,1717.277611
Siembra_en_surco,200,Propio_lote,0,1,0,No,No,63,63,124.5,3,Inundación,3,0,Si,No,Otro,6.23,1.33,17.4,5.4,2.09,22.8,FAr,530.8887115,22.56855762,30.46170996,65.19876727,2286.068879
Trasplante_manual,248,Casa_comercial,0,0,2,No,No,107.5,27,44,3,Inundación,1,1,Si,No,Alta temperatura,6.56,1.38,14.4,5.4,1.93,25.4,FAr,390.6916649,23.37703203,31.6203608,58.11800621,2380.851837
Trasplante_manual,,Casa_comercial,0,0,1,No,No,124.5,45,46.75,5,Inundación,1,1,Si,No,Alta temperatura,7.5,1.36,25.1,5.6,2.1,37.5,FAr,403.1298776,23.49035645,32.4137395,52.10965878,2362.273085
Trasplante_manual,248,Semillista,0,1,1,No,No,264,90,115.5,4,Inundación,2,2,Si,No,Alta temperatura,6,1.36,16.2,5.5,2.19,24.4,FAr,349.9988761,24.18705287,33.33293231,47.05501264,2389.067615
Trasplante_mecanizado,,Propio_lote,0,2,0,No,No,148,27,65.5,4,Inundación,3,2,Si,No,Alta temperatura,4.78,1.36,17.6,5.5,1.95,24.1,FAr,353.829073,23.87681247,32.67511014,51.15305946,2111.118463
Siembra_en_surco,120,Propio_lote,0,1,0,No,No,95.269,33.907,58.68,4,Corrido,2,2,Si,No,Plagas y enfermedades,4.43,1.38,18.9,5.5,2.03,30.7,FAr,251.2550647,23.46219889,32.6306455,52.18338871,2342.66132
Trasplante_manual,265.7894737,Semillista,2,3,0,No,No,283.85,36,70,4,Otro,2,2,Si,No,Sequías,4.67,1.37,15.4,5.3,1.94,30,FAr,321.5005944,23.08117608,30.50301242,64.23719961,1649.702935
Voleo_mecanizado,240,Propio_lote,0,0,0,No,No,223.2,64.8,95.4,4,Corrido,1,0,Si,No,Alta temperatura,3.04,1.36,14.7,5.4,2.26,25.3,FAr,601.2268288,23.21734802,31.23500616,59.23662585,2334.552579
Voleo_manual,248,Semillista,0,0,0,No,No,121.2,61.2,61.2,4,Corrido,2,3,Si,No,Sequías,3.75,1.37,16.3,5.5,2.12,19.8,FAr,518.181874,23.26939203,31.27558578,58.76988253,2119.015001
Voleo_manual,200,Semillista,0,0,0,No,No,84.5,40.5,40.5,4,Inundación,4,6,No,Si,Otro,4.58,1.31,13.4,5.2,2.02,24.8,FAr,397.3768325,23.90370428,32.80161036,50.47368768,2543.780022
Trasplante_manual,200,Fedearroz,0,0,0,No,No,158.5,24,73.5,4,Inundación,2,4,No,No,Sequías,4.38,1.35,16.6,5.4,2.18,27.1,FAr,407.9259334,23.70966864,32.29430926,53.43903005,2395.900612
Trasplante_manual,200,Fedearroz,0,1,0,No,No,205.2,33.83,54.87,7,Inundación,3,0,No,No,Otro,7,1.32,14.6,5.4,2.21,38.7,FAr,327.5374184,23.54858584,31.90508058,55.60251136,1701.418852
Trasplante_manual,124,Semillista,0,0,0,No,No,116.5,22.5,22.5,4,Inundación,3,3,No,No,Otro,6.88,1.38,15.1,5.4,2.01,30.4,FAr,460.0404072,23.25245585,31.68711811,57.78597125,2915.087376
Trasplante_manual,93,Semillista,0,1,0,No,No,99.5,36,79.5,4,Inundación,2,0,Si,No,Sequías,5.63,1.34,23.6,5.6,2.27,35.6,FAr,220.304462,24.80417688,34.46319619,43.42782272,1861.702818
Trasplante_manual,248,Semillista,0,0,0,No,No,146.12,82.8,127,4,Inundación,3,3,No,No,Otro,5.63,1.38,17.7,5.4,2.08,31.3,FAr,293.2479,23.24797579,31.35480742,57.35798358,1555.258111
Voleo_manual,200,Otro,0,0,0,No,No,72,72,72,4,Corrido,1,1,No,No,Otro,3.75,1.38,15.3,5.5,2.11,23.1,FAr,211.8555017,23.54084578,32.44378281,54.14329455,1813.161683
Siembra_en_surco,150,Propio_lote,0,0,0,No,No,119,27,27,4,Inundación,1,1,Si,No,Plagas y enfermedades,5.38,1.37,15.4,5.4,2.02,26.9,FAr,321.5005944,23.06937196,30.48596709,64.36360678,1687.302891
Trasplante_manual,125,Semillista,0,0,3,No,No,94.5,58.5,84,2,Inundación,1,1,Si,No,Otro,6.64,1.39,15.9,5.4,2.06,29.3,FAr,288.891902,24.32037934,33.81359848,44.06532281,2407.366809
Voleo_manual,200,Semillista,0,0,0,No,No,190.75,54,71,4,Inundación,1,0,Si,No,Otro,7.5,1.38,24.9,5.7,2.28,40.2,FAr,419.6666799,23.17299616,31.68022253,58.77853897,1775.056577
Voleo_mecanizado,189.2307692,Propio_lote,1,1,0,No,No,172.5,72,72,4,Inundación,1,1,No,No,Plagas y enfermedades,5,1.4,15,5.3,1.88,24.6,FAr,397.3500428,22.46232989,29.97225958,65.70019559,1999.473594
Siembra_en_surco,200,Semillista,1,0,1,Si,No,187.5,45,70.5,5,Inundación,2,0,Si,No,Alta temperatura,5,1.36,26.2,5.5,1.95,37.2,FAr,471.5089407,22.30382714,29.27269321,69.30490305,2279.389155
Siembra_en_surco,200,Propio_lote,1,0,0,Si,No,36,36,36,1,Inundación,1,2,Si,No,Plagas y enfermedades,7.25,1.39,12.5,5.5,1.82,21,FAr,486.8985887,22.75459979,30.28905075,64.68319946,1960.893714
Siembra_en_surco,175,Propio_lote,2,0,0,No,No,280,72,72,5,Corrido,2,1,Si,No,Plagas y enfermedades,5,1.4,18.4,5.3,1.58,22.2,FAr,567.4736607,22.57533937,29.83599897,62.94177824,2300.946612
Voleo_mecanizado,186.3,Propio_lote,1,1,0,No,No,228,30,98,3,Corrido,1,0,Si,No,Plagas y enfermedades,2.29,1.35,15.4,5.3,1.79,21.2,FAr,470.2063673,22.69146349,30.88035829,60.9787656,2508.730316
Voleo_mecanizado,200,Propio_lote,2,0,0,No,No,159,54,79.5,4,Corrido,1,1,Si,No,Plagas y enfermedades,6.88,1.37,19.3,5.5,2,22.6,FAr,751.6797242,22.2713216,28.83187088,69.58798906,2280.17563
Siembra_en_surco,250,Propio_lote,2,0,0,No,No,174,69,69,4,Corrido,2,2,Si,No,Otro,6.25,1.34,15.6,5.4,2.22,44.3,FAr,804.6608839,22.59733276,29.08419653,69.32482703,2213.793627
Siembra_en_surco,175,Semillista,2,0,0,No,No,156,72,72,4,Corrido,1,1,No,No,Otro,6.56,1.36,14.1,5.4,2.11,26.5,FAr,286.4620957,23.44745401,32.54189405,52.55523064,2456.690598
Siembra_en_surco,175,Propio_lote,3,0,0,Si,No,175.44,58,91,6,Corrido,2,5,Si,No,Alta temperatura,7.38,1.38,15.4,5.5,2.1,27.1,FAr,558.7944031,22.86806586,30.57109463,60.71971378,2018.462028
Siembra_en_surco,186.3,Propio_lote,1,1,0,No,No,185,90,102,4,Corrido,2,2,No,No,Otro,7.5,1.38,13.9,5.3,2.42,35.9,FAr,312.6469464,23.23040784,31.59979136,58.50362603,1873.818485
Siembra_en_surco,150,Casa_comercial,1,0,0,Si,No,128.4,59,60.2,5,Corrido,3,2,No,No,Otro,3.5,1.36,10.9,5.2,1.87,32.5,FAr,378.1038918,23.20793826,31.51490387,58.8899939,2182.393459
Siembra_en_surco,175,Propio_lote,1,0,0,No,No,131,108,108.03,5,Corrido,0,2,No,No,Otro,5.81,1.33,14,5.2,1.72,34.1,FAr,512.275907,23.1301768,31.15897915,60.86653048,2490.649193
Siembra_en_surco,150,Casa_comercial,0,0,0,No,No,232.5,27,52.5,4,Corrido,4,6,No,No,Otro,3.75,1.38,14.6,5.4,1.93,39.2,FAr,418.7208338,22.88816469,29.87643708,67.09230485,1656.579583
Voleo_mecanizado,185,Propio_lote,1,1,0,No,No,242,42,87,5,Corrido,3,2,Si,No,Plagas y enfermedades,5,1.39,14.2,5.4,1.8,43.7,FAr,383.0505633,23.23659097,31.61974785,58.25439469,2358.948541
Siembra_en_surco,195.2777778,Propio_lote,1,2,0,Si,No,141.73,31.18,65.3725,4,Inundación,5,4,Si,No,Alta temperatura,8.13,1.2,19.8,5.4,2.99,41.1,FAr,705.7852464,22.83175874,29.54829047,63.54410353,2232.621776
Siembra_en_surco,173.3870968,Propio_lote,1,0,0,No,No,56,22.5,52.5,7,Corrido,3,0,No,No,Otro,6.88,1.05,22.1,5.3,2.74,46.2,FAr,526.7760408,18.3882301,26.02934042,60.45591986,2474.936556
Siembra_en_surco,186.3,Propio_lote,1,0,0,No,No,190.5,54,79.5,4,Corrido,3,2,No,No,Otro,8.13,1.4,20.2,5.7,2.14,30.5,FAr,452.9638901,23.03477178,31.04091623,60.70840432,2274.67866
Siembra_en_surco,100,Propio_lote,1,0,0,No,Si,160.42,36,36,4,Corrido,1,2,Si,No,Otro,10.13,1.39,17.4,5.5,1.85,22.2,FAr,366.5406396,23.09234805,31.79482864,53.39772014,2652.289508
Siembra_en_surco,150,Propio_lote,1,1,0,Si,No,87.5,54.6,54,3,Corrido,2,1,Si,No,Plagas y enfermedades,7.5,1.22,17.5,5.5,1.88,42.9,FAr,515.2215781,23.25087188,31.92846853,54.97995802,2155.623855
Siembra_en_surco,200,Propio_lote,1,0,0,Si,No,195.2,45,126,5,Corrido,0,2,No,No,Sequías,6.25,1.26,18,5.5,2.27,40.7,FAr,576.2648287,22.71816867,30.80766246,59.71469901,2526.771018
Siembra_en_surco,200,Propio_lote,1,0,0,No,No,180.9,36,96,4,Corrido,5,1,Si,No,Otro,5,1.26,24.3,5.4,2.99,49.8,FAr,465.4127228,23.4920708,32.0557619,54.47527766,2617.09876
Siembra_en_surco,150,Propio_lote,1,0,0,No,No,230.5,36,36,4,Corrido,2,3,Si,No,Sequías,7.88,1.27,20.4,5.4,2.09,36.3,FAr,459.3502278,23.32241502,31.63053705,57.36202018,2021.901428
Siembra_en_surco,175,Propio_lote,1,1,0,No,No,232.5,77,114,6,Corrido,4,2,Si,No,Sequías,5.38,1.27,20.2,5.5,2.13,37.1,FAr,466.4079933,23.07125505,30.68934477,62.35697161,2176.08684
Siembra_en_surco,175,Propio_lote,1,0,0,No,No,179.02,63.24,153.24,6,Corrido,2,3,No,No,Otro,5,1.19,22.8,5.4,1.84,32.3,FAr,462.9469757,22.96994009,30.32029054,64.02488513,2311.909622
Voleo_manual,150,Propio_lote,2,0,0,No,No,213,54,114,5,Corrido,3,0,No,No,Sequías,4.38,1.25,13.1,5.3,2.4,38.1,FAr,747.2908497,23.2608877,30.33238143,60.20106179,2322.487418
Siembra_en_surco,150,Propio_lote,1,0,0,Si,Si,204,27,103.5,5,Corrido,3,5,Si,No,Otro,6.88,1.19,17.4,5.5,2.07,33.8,FAr,488.1182079,22.96174283,31.83377506,51.23718504,2580.131307
Siembra_en_surco,150,Propio_lote,1,0,0,Si,No,164.94,67,66,7,Corrido,5,3,Si,No,Sequías,5.13,1.28,14.7,5.3,1.77,32.8,FAr,506.9164674,23.50978334,31.99244886,52.62855313,2395.488079
Siembra_en_surco,175,Propio_lote,1,0,0,Si,No,266.72,39,83,7,Corrido,2,2,Si,No,Alta temperatura,7.19,1.21,18.2,5.3,2.02,42.6,FAr,644.8713646,23.22438341,32.30768927,52.15632187,2639.257683
Siembra_en_surco,120,Propio_lote,1,2,0,Si,No,231.5,46,135,5,Corrido,3,1,No,No,Otro,7.19,1.32,21.3,5.5,1.95,35.6,FAr,376.4920266,22.02914042,30.05647474,57.50926481,2415.939596
Siembra_en_surco,200,Propio_lote,1,0,0,No,No,242.5,27,57,4,Corrido,3,3,Si,No,Otro,6.43,1.28,19.3,5.5,2.26,39.5,FAr,656.6866684,22.59604541,30.17936486,62.78260672,2401.323222
