MET_SIEMBRA,CANT_SEMILLA,ORIG_SEMILLA,CABALLONEO,NIVELADO,ARADO,FERT_ORG,USO_PRON_FERT,N_TOTAL,P2O5_TOTAL,K2O_TOTAL,FRACC_FERT,TIPO_RIEGO,HERB,INSECT,INCORP_RES,USO_BIOFERT,REDUC_REND,REND,DENS_AP,CIC,pH,N_SUELO,C_ORG_SUELO,TEXT,PREC_ACUM,TEMP_MIN_PROM,TEMP_MAX_PROM,REL_HUM_PROM,SOL_RAD_ACUM
Voleo_mecanizado,150,Semillista,1,1,0,No,No,156,27,103.5,5,Corrido,2,2,No,No,Plagas y enfermedades,6.25,1.38,16.9,5.5,1.82,25.3,FAr,290.7096596,22.95579212,31.10518916,56.46010351,1927.493272
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,117,72,89,4,Inundación,1,0,No,No,Otro,7.94,1.4,18.2,5.3,1.77,22.7,FAr,648.9004953,22.47045511,29.48841012,64.71502025,2220.98664
Siembra_en_surco,170,Propio_lote,1,1,0,Si,Si,45,45,78,4,Corrido,2,0,Si,Si,Otro,10.4,1.39,12.5,5.2,1.72,20.6,FAr,348.0638099,22.84811034,29.26533776,69.30427994,2032.093779
Siembra_en_surco,175,Propio_lote,1,1,0,No,No,128.7,27,44,2,Corrido,2,1,No,No,Alta temperatura,6.75,1.36,17.4,5.3,1.64,25.4,FAr,407.7086959,22.61794507,30.6006613,62.49087084,2326.61841
Siembra_en_surco,217,Propio_lote,1,1,0,No,No,123,81,81,4,Inundación,2,1,No,No,Otro,5.5,1.39,18.6,5.3,1.63,22.8,FAr,632.0807109,22.83240834,30.46868952,61.15691333,2417.695821
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,178.5,126,126,4,Corrido,1,0,No,No,Alta temperatura,4.88,1.41,19,5.5,2.11,33.5,FAr,503.8839769,23.30528536,31.10815582,58.26262265,2742.426774
Siembra_en_surco,160,Propio_lote,1,1,0,No,No,179.75,72,72,4,Corrido,1,0,No,No,Otro,8.45,1.41,19,5.5,2.11,33.5,FAr,162.1306543,23.48601801,31.92572661,54.01148584,2005.240947
Siembra_en_surco,150,Propio_lote,1,1,0,No,No,94.5,63,63,4,Corrido,1,0,No,No,Otro,8.13,1.34,22.4,5.4,2.24,41.7,FAr,396.1093626,22.15471175,28.50366636,72.91318495,1969.680412
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,261.5,36,86,4,Corrido,1,0,No,No,Otro,7,1.38,15.1,5.5,1.92,26.4,FAr,735.8675618,22.61473326,29.67423605,65.02878204,2268.309313
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,170.5,108,108,4,Corrido,1,2,No,No,Plagas y enfermedades,6.25,1.4,22.4,5.5,2.01,32.5,FAr,538.5527411,23.00656584,31.09425798,58.03371237,2250.02535
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,190,45,126,5,Corrido,1,1,No,No,Plagas y enfermedades,4.38,1.35,21,5.4,2.16,35.6,FAr,587.6446905,22.88452143,30.62171878,60.40848041,2107.890809
Siembra_en_surco,200,Propio_lote,1,1,0,No,Si,263.5,117,117,4,Corrido,1,1,No,No,Plagas y enfermedades,4.06,1.36,21.2,5.5,2.06,30.1,FAr,787.410393,22.79202259,30.35983902,61.6187437,2859.032417
Siembra_en_surco,210,Propio_lote,1,0,0,No,No,184,36,70,5,Corrido,2,1,No,No,Plagas y enfermedades,6.88,1.4,12.7,5.2,1.98,21.2,FAr,650.873807,22.99868433,30.44430786,62.26299368,2262.222515
Siembra_en_surco,130,Propio_lote,1,1,0,No,No,201,27,78,5,Corrido,1,1,No,No,Alta temperatura,5.63,1.37,13.3,5.4,1.91,29,FAr,445.3910651,23.13465509,31.78993449,56.77084023,2444.405058
Siembra_en_surco,175,Propio_lote,1,0,0,No,No,309,63,80,4,Corrido,3,1,Si,No,Plagas y enfermedades,6.25,1.34,12.7,5.4,2.06,26.7,FAr,500.1253633,22.62533367,29.41602971,70.39102047,2327.412432
Siembra_en_surco,200,Propio_lote,1,0,0,No,No,177.5,108,193.5,4,Corrido,1,1,Si,No,Plagas y enfermedades,5.6,1.38,19.4,5.6,1.64,26.4,FAr,377.7597275,22.48555533,29.15396909,72.48336557,2258.192727
Siembra_en_surco,150,Propio_lote,1,0,0,No,No,161,27,27,4,Corrido,3,3,No,No,Plagas y enfermedades,5.65,1.38,19.9,5.5,2.07,22.7,FAr,749.1480315,22.54173087,28.85630816,70.61609392,1793.296401
Siembra_en_surco,200,Casa_comercial,1,0,0,No,No,144,72,183,4,Corrido,2,2,Si,No,Plagas y enfermedades,2.5,1.37,17.3,5.5,1.77,22.5,FAr,362.0457592,22.45518162,29.09534143,72.95580179,2128.931482
Siembra_en_surco,120,Propio_lote,1,0,0,No,No,202,45,79,4,Corrido,1,2,No,No,Otro,8.5,1.18,13.9,5.4,2.41,43.1,FAr,444.9900057,20.00557468,28.22017035,57.47860327,2556.507649
Siembra_en_surco,175,Propio_lote,1,0,0,No,No,133.5,63,105,5,Corrido,3,1,Si,No,Otro,6.25,1.37,12.4,5.4,2.08,25.3,FAr,727.4958878,22.85712439,29.91973402,64.73402074,2422.953248
Siembra_en_surco,200,Propio_lote,1,0,0,No,Si,265,90,90,5,Corrido,1,1,No,No,Plagas y enfermedades,8.75,1.39,15.2,5.5,1.83,31.7,FAr,481.2218869,23.17456812,31.36075415,59.7758479,2374.454247
Voleo_mecanizado,200,Propio_lote,1,0,0,No,No,195.515,27,102,5,Corrido,2,0,Si,No,Otro,9.13,1.31,19.2,5.5,2.65,34.1,Ar,475.452806,20.39495093,27.78729468,63.3334592,2235.872148
Voleo_mecanizado,150,Propio_lote,1,0,0,No,No,213.5,31.5,181.5,5,Corrido,1,0,No,No,Otro,5.69,1.27,17.8,5.5,2.28,31,FAr,566.2328477,17.45939505,24.3661685,73.95643739,1716.097641
Siembra_en_surco,175,Propio_lote,1,1,0,No,No,132.25,46,105,5,Corrido,4,0,No,No,Alta temperatura,9.3,1.27,17.7,5.3,2.19,34.7,FAr,402.5633199,21.25449465,30.93084371,45.09132673,1979.082585
Siembra_en_surco,120,Propio_lote,1,1,0,No,No,213.5384615,54,54,4,Corrido,3,0,No,No,Alta temperatura,6.88,1.13,14.3,5.1,2.04,37,FAr,809.3679235,22.94465544,29.6417775,62.61698492,2013.773675
Siembra_en_surco,175,Propio_lote,1,1,0,No,Si,145,36,36,4,Corrido,2,0,No,No,Otro,6.88,1.15,12.8,5.3,2.3,40.8,Ar,751.0350614,22.69249795,29.54919156,62.51608002,1956.497131
Siembra_en_surco,175,Propio_lote,1,0,0,No,No,211.25,36,36,4,Corrido,5,0,No,No,Alta temperatura,7.5,1.19,15.5,5.4,2.7,40.4,Ar,621.3994045,23.00326412,31.66846619,55.64553869,2371.514361
Siembra_en_surco,140,Propio_lote,1,0,0,No,Si,186.25,36,66,5,Corrido,1,0,No,No,Otro,6.88,1.18,13.8,5.2,2.09,39.2,FAr,628.7105808,23.10803304,32.0907589,53.4789167,2458.448666
Siembra_en_surco,200,Propio_lote,1,0,0,No,No,242.9113924,80,111.6455696,5,Corrido,3,2,No,No,Plagas y enfermedades,6.33,1.26,17.9,5.3,2.15,41.2,FAr,436.7273698,22.9316971,32.29811832,49.50263115,2416.951222
Voleo_manual,200,Propio_lote,1,0,0,No,No,260.2,22,141.1,5,Corrido,5,0,Si,No,Otro,5.63,1.19,14.6,5.2,2.08,41.7,FAr,598.5386648,23.25168029,32.59285742,51.05233658,2022.720738
Siembra_en_surco,160,Propio_lote,1,1,0,No,Si,242,36,51,4,Corrido,2,0,No,No,Alta temperatura,7.69,1.17,16.9,5.1,1.84,24.9,FAr,378.9345186,22.04716057,31.14882704,51.53272166,2352.571769
Siembra_en_surco,175,Propio_lote,1,1,0,No,No,183.7,63.6,172.8,5,Inundación,2,0,No,No,Otro,7.19,1.25,19.3,5.5,2.11,38,FAr,382.6087751,23.45136694,31.97099463,54.98404422,2447.602304
Siembra_en_surco,200,Propio_lote,0,0,0,No,No,241,36,156,5,Corrido,2,0,No,No,Otro,8.36,1.23,20.4,5.4,2.18,40.9,FAr,822.2304759,22.56014637,31.46026816,54.33778946,2528.356003
Siembra_en_surco,175,Propio_lote,1,1,0,No,No,212,54,54,5,Inundación,2,0,No,No,Otro,6.88,1.28,23.2,5.4,2.67,45.5,FAr,427.53983,23.51569744,32.12347819,54.03073948,2553.39383
Siembra_en_surco,200,Propio_lote,1,0,0,No,No,235.5,63,63,5,Corrido,1,1,Si,No,Otro,7.5,1.25,13.1,5.3,2.47,37.1,FAr,743.4087541,21.90775599,29.24799573,65.6503749,2174.503838
Siembra_en_surco,150,Propio_lote,0,0,0,No,Si,283.25,27,102,5,Corrido,6,0,Si,No,Otro,8.56,1.22,12.5,5.3,2.71,38.5,FAr,430.2141628,22.8588417,30.12240522,63.25708442,1953.135828
Siembra_en_surco,175,Propio_lote,0,0,0,No,No,261,76,100,4,Corrido,3,0,No,No,Otro,6.88,1.3,13.3,5.3,1.98,27.4,FAr,432.0935941,22.70624168,29.74388317,65.17209112,2012.821923
Siembra_en_surco,200,Propio_lote,0,0,0,No,No,215.95,41.4,105,5,Corrido,4,1,No,No,Alta temperatura,5,1.26,13.2,5.2,1.92,28.2,FAr,534.5630317,22.91873946,30.3135716,62.05431407,2160.359483
Siembra_en_surco,175,Propio_lote,1,1,0,No,No,111.7,36,49.6,4,Corrido,2,1,No,No,Otro,7.92,1.35,22.4,5.4,2.93,32.7,FAr,313.0663264,23.51800051,32.16192389,51.46713694,2378.886358
Siembra_en_surco,175,Propio_lote,1,1,0,No,Si,227.5,22.5,37.5,4,Corrido,4,0,No,No,Alta temperatura,8,1.32,19.1,5.4,2.69,30,FAr,321.5740619,23.11134382,32.22289377,53.04754725,2316.766542
Siembra_en_surco,150,Propio_lote,1,1,0,No,Si,92.5,36,96,4,Corrido,7,0,No,No,Alta temperatura,6.88,1.34,21.4,5.4,2.21,32.4,FAr,499.0221186,22.87556004,29.34594658,64.88528674,1923.683446
Siembra_en_surco,150,Propio_lote,1,1,0,No,Si,190.25,34.5,30,4,Corrido,4,4,Si,No,Otro,8.75,1.31,19.1,5.5,2.27,42.2,FAr,343.9623525,21.2696182,30.58555393,45.92445478,2336.274685
Siembra_en_surco,125,Propio_lote,1,1,0,No,No,184,34.5,120,5,Corrido,7,4,Si,Si,Otro,10.5,1.23,18.1,5.5,2.54,28.7,FAr,485.5185215,21.17504272,29.72519073,50.34391309,2611.101061
Siembra_en_surco,150,Propio_lote,1,1,0,No,Si,198.75,34.5,60,5,Corrido,7,1,No,No,Otro,8.13,1.17,19.2,5.5,2.4,34.6,FAr,681.7341886,17.32545766,24.09534297,74.83409145,1923.577622
Siembra_en_surco,150,Propio_lote,1,1,0,Si,No,197.5,69,75,5,Corrido,7,1,Si,No,Otro,8.75,1.23,17.7,5.5,2.66,40.6,FAr,449.3677847,18.70662618,26.2033742,63.16097449,2118.786941
Siembra_en_surco,150,Propio_lote,1,0,0,No,No,269,46,90,5,Corrido,5,2,Si,Si,Otro,8.06,1.27,17.9,5.5,2.58,32.9,FAr,420.5564232,21.35911828,28.52633889,66.76863823,1820.679191
