EVENT_AFECT,VARIEDAD,MET_SIEMB,CANT_SEM,CABALLONEO,NIVELACION,ARADO,TIPO_RIEGO,FRAC_FERT,N_TOTAL,P2O5_TOTAL,K2O_TOTAL,CONTEO_HERB,CONTEO_INS_FUN,DENS_AP,CIC,pH,TEXTURA,PREC_ACUM,TEMP_MIN_PROM,TEMP_MAX_PROM,HUM_REL_PROM,RAD_SOL_ACUM,MANEJO_RESID,REND
Otro,Otro,Trasplante_manual,,No,No,No,Inundacion,4,148.0,24.0,43.5,2,4,1.35,16.6,5.4,FAr,407.9259333610535,23.709668641578443,32.29430926465607,53.43903005404735,2395900612.0,Quemados,4.38
Lluvias_inoportunas,Otro,Trasplante_manual,200.0,No,Si,No,Inundacion,7,183.4,32.23,47.27,3,0,1.32,14.6,5.4,FAr,327.5374183654785,23.54858584196668,31.90508057967471,55.602511364480726,1701418852.0,Quemados,7.0
Ninguno,Otro,Trasplante_manual,,No,No,No,Inundacion,4,90.5,9.0,17.5,2,1,1.38,13.7,5.4,FAr,327.5374183654785,23.54858584196668,31.90508057967471,55.602511364480726,1701418852.0,Quemados,6.88
Helada,Otro,Trasplante_manual,124.0,No,No,No,Inundacion,4,85.0,22.5,22.5,3,3,1.38,15.1,5.4,FAr,460.0404071807861,23.252455847247692,31.687118111404725,57.78597124885111,2915087376.0,Incorporados,6.88
Lluvias_inoportunas,Otro,Trasplante_manual,,No,Si,No,Inundacion,4,59.0,36.0,36.0,2,0,1.34,23.6,5.6,FAr,220.30446195602417,24.80417688248001,34.4631961903673,43.4278227217654,1861702818.0,Incorporados,5.63
Lluvias_inoportunas,Otro,Trasplante_manual,248.0,No,No,No,Inundacion,1,0.0,0.0,0.0,1,1,1.39,19.9,5.3,FAr,266.56515526771545,23.22215754191076,31.43488438924148,57.383359050750734,2264989081.0,Quemados,1.15
Lluvias_inoportunas,Otro,Trasplante_manual,248.0,No,No,No,Inundacion,4,146.12,82.8,127.0,3,3,1.38,17.7,5.4,FAr,293.2479000091553,23.24797578699445,31.354807416130477,57.357983577952666,1555258111.0,Ninguno,5.63
Ninguno,Fedearroz_67,Siembra_en_surco,180.0,Si,No,No,Corrido,5,181.0,136.8,136.8,1,1,1.39,18.9,5.6,FAr,551.2486605644226,22.431642212906457,29.47373587755647,65.96790902982882,2283192941.0,Quemados,9.88
Otro,Otro,Voleo_mecanizado,,Si,No,No,Corrido,7,45.0,45.0,75.0,0,2,1.37,17.3,5.3,FAr,760.6409270763397,22.273852103097045,29.09982452392572,67.1226848602295,2535019895.0,Quemados,4.0
Otro,Fedearroz_2020,Siembra_en_surco,200.0,Si,No,Si,Inundacion,5,220.5,45.0,45.0,2,0,1.36,26.2,5.5,FAr,471.5089406967163,22.30382714459272,29.27269320750793,69.30490304541401,2279389155.0,Quemados,5.0
Altas_temperaturas,Fedearroz_2020,Siembra_en_surco,200.0,Si,No,No,Inundacion,1,36.0,36.0,36.0,1,2,1.39,12.5,5.5,FAr,486.8985886573792,22.754599790219864,30.28905074508096,64.68319945865207,1960893714.0,Retirados,7.25
Otro,Fedearroz_67,Siembra_en_surco,200.0,Si,Si,No,Corrido,4,209.0,0.0,105.0,2,2,1.35,22.9,5.5,FAr,620.2460868358612,22.82896122153283,30.62257143905738,59.9977321250766,2872329978.0,Incorporados,7.5
Otro,Fedearroz_67,Voleo_mecanizado,120.0,Si,Si,No,Corrido,3,124.0,30.0,64.0,1,1,1.35,15.4,5.3,FAr,470.2063672542572,22.691463493578308,30.880358285614875,60.97876560326779,2508730316.0,Ninguno,2.29
Sequía,Fedearroz_2020,Voleo_mecanizado,200.0,Si,No,No,Corrido,4,159.0,54.0,79.5,1,1,1.37,19.3,5.5,FAr,751.6797242164612,22.27132159856356,28.83187087652245,69.58798905620425,2280175630.0,Incorporados,6.88
Otro,Fedearroz_Ibis,Siembra_en_surco,175.0,Si,No,No,Corrido,4,156.0,72.0,72.0,1,1,1.36,14.1,5.4,FAr,286.4620957374573,23.44745401049412,32.541894046843936,52.55523064022972,2456690598.0,Ninguno,6.56
Sequía,Otro,Siembra_en_surco,175.0,Si,No,No,Corrido,6,198.44,58.0,57.0,2,5,1.38,15.4,5.5,FAr,558.7944030761719,22.868065856383687,30.571094629785986,60.71971377810917,2018462028.0,Retirados,7.38
Helada,Fedearroz_67,Siembra_en_surco,150.0,Si,Si,No,Corrido,4,164.0,90.0,102.0,2,2,1.38,13.9,5.3,FAr,312.6469464302063,23.23040783940525,31.599791359414805,58.5036260254529,1873818485.0,Retirados,7.5
Otro,Otro,Siembra_en_surco,150.0,Si,No,No,Corrido,5,117.9,59.0,60.2,3,2,1.36,10.9,5.2,FAr,378.1038918495178,23.207938264545596,31.514903874982807,58.88999390183834,2182393459.0,Ninguno,3.5
Otro,Otro,Siembra_en_surco,150.0,No,No,No,Corrido,4,201.0,27.0,52.5,4,6,1.38,14.6,5.4,FAr,418.72083377838135,22.88816469254029,29.876437082598237,67.09230484501008,1656579583.0,Quemados,3.75
Ninguno,Fedearroz_67,Voleo_mecanizado,200.0,Si,Si,No,Corrido,5,248.4,178.8,178.8,3,3,1.36,16.0,5.5,FAr,504.49158549308777,23.177076435089063,31.138782358169497,58.078504502773285,2371882891.0,Quemados,5.64
Sequía,Fedearroz_2020,Voleo_mecanizado,185.0,Si,Si,No,Corrido,5,221.0,42.0,87.0,3,2,1.39,14.2,5.4,FAr,383.0505633354187,23.23659097314845,31.61974785037151,58.254394686319,2358948541.0,Retirados,5.0
Otro,Fedearroz_67,Siembra_en_surco,,Si,Si,No,Inundacion,4,141.73,41.68,65.3725,5,4,1.2,19.8,5.4,FAr,705.7852463722229,22.83175874303594,29.54829046530796,63.54410352863249,2232621776.0,Incorporados,8.13
Otro,Otro,Voleo_mecanizado,250.0,Si,Si,Si,Corrido,5,165.0,2.0,1.0,2,1,1.31,17.5,5.5,FAr,536.6202476024628,21.01094611672789,30.01911832024063,50.90134784754585,2536329270.0,Ninguno,6.25
Sequía,Fedearroz_Ibis,Siembra_en_surco,120.0,Si,Si,No,Corrido,5,142.25,0.0,85.625,3,2,1.26,18.3,5.5,FAr,394.7445621490479,21.99207216293088,30.81544659326941,53.87667023189484,2501219399.0,Ninguno,8.31
Altas_temperaturas,Fedearroz_67,Siembra_en_surco,150.0,Si,Si,No,Corrido,4,0.2579999999999999,0.0,0.0,5,2,1.23,21.5,5.3,FAr,654.5391926765442,23.86663603606043,32.1527979532877,58.86652628580729,2059352385.0,Retirados,7.75
Ninguno,Fedearroz_67,Voleo_mecanizado,175.0,Si,No,No,Corrido,4,210.25,0.0,90.0,3,0,1.23,19.1,5.5,FAr,769.7644424438477,17.186596977419935,23.908472424018623,75.3823949302115,1995643747.0,Ninguno,10.0
Otro,Fedearroz_67,Siembra_en_surco,200.0,Si,No,No,Corrido,7,45.5,22.5,52.5,3,0,1.05,22.1,5.3,FAr,526.7760407924652,18.38823009889513,26.02934041948455,60.45591986357276,2474936556.0,Incorporados,6.88
Altas_temperaturas,Otro,Siembra_en_surco,160.0,Si,No,No,Corrido,4,0.0,0.0,1.5,2,1,1.37,13.4,5.3,FAr,660.7050130367279,22.80669227789252,29.070093277860227,68.24788735129617,2122086384.0,Incorporados,7.5
